,LCK,LCKC,LCP,LEC,LJL,LTA N,PCS
0,False,False,True,False,False,False,False
1,False,False,True,False,False,False,False
2,False,False,True,False,False,False,False
3,False,False,True,False,False,False,False
4,False,False,True,False,False,False,False
5,False,False,False,True,False,False,False
6,False,False,False,True,False,False,False
7,False,False,False,True,False,False,False
8,False,False,False,True,False,False,False
9,False,False,False,False,False,True,False
10,False,False,False,False,False,True,False
11,False,False,False,False,False,True,False
12,False,False,False,False,False,True,False
13,False,False,False,False,False,True,False
14,False,False,True,False,False,False,False
15,False,False,True,False,False,False,False
16,False,False,True,False,False,False,False
17,False,False,True,False,False,False,False
18,False,False,True,False,False,False,False
19,False,False,False,True,False,False,False
20,False,False,False,True,False,False,False
21,False,False,False,True,False,False,False
22,False,False,False,True,False,False,False
23,False,False,False,False,False,True,False
24,False,False,False,False,False,True,False
25,False,False,False,False,False,True,False
26,False,False,False,False,False,True,False
27,False,False,False,False,False,True,False
28,False,True,False,False,False,False,False
29,False,True,False,False,False,False,False
30,False,True,False,False,False,False,False
31,False,True,False,False,False,False,False
32,False,False,False,False,False,False,True
33,False,True,False,False,False,False,False
34,False,False,False,False,False,False,True
35,False,True,False,False,False,False,False
36,False,True,False,False,False,False,False
37,False,False,False,True,False,False,False
38,False,False,False,True,False,False,False
39,False,False,False,True,False,False,False
40,False,False,False,True,False,False,False
41,False,True,False,False,False,False,False
42,False,True,False,False,False,False,False
43,False,False,False,False,False,False,True
44,False,False,False,False,False,False,True
45,False,True,False,False,False,False,False
46,False,False,False,False,False,False,True
47,False,True,False,False,False,False,False
48,False,False,False,False,False,False,True
49,False,True,False,False,False,False,False
50,False,True,False,False,False,False,False
51,True,False,False,False,False,False,False
52,True,False,False,False,False,False,False
53,False,False,False,False,False,False,True
54,True,False,False,False,False,False,False
55,False,False,False,False,False,False,True
56,False,False,False,False,False,False,True
57,True,False,False,False,False,False,False
58,False,False,False,False,False,False,True
59,True,False,False,False,False,False,False
60,False,False,False,False,False,False,True
61,False,False,False,False,False,False,True
62,False,True,False,False,False,False,False
63,False,True,False,False,False,False,False
64,False,True,False,False,False,False,False
65,False,True,False,False,False,False,False
66,False,True,False,False,False,False,False
67,False,True,False,False,False,False,False
68,False,True,False,False,False,False,False
69,True,False,False,False,False,False,False
70,True,False,False,False,False,False,False
71,True,False,False,False,False,False,False
72,False,True,False,False,False,False,False
73,False,True,False,False,False,False,False
74,False,True,False,False,False,False,False
75,False,True,False,False,False,False,False
76,False,True,False,False,False,False,False
77,True,False,False,False,False,False,False
78,True,False,False,False,False,False,False
79,True,False,False,False,False,False,False
80,True,False,False,False,False,False,False
81,False,False,False,False,True,False,False
82,False,False,False,False,True,False,False
83,False,False,False,False,True,False,False
84,False,False,False,False,True,False,False
85,False,False,False,False,True,False,False
86,False,False,False,False,True,False,False
87,True,False,False,False,False,False,False
88,False,False,False,False,True,False,False
89,False,False,False,False,True,False,False
90,False,False,False,False,True,False,False
91,False,False,False,False,True,False,False
92,False,False,False,False,True,False,False
93,False,False,False,False,True,False,False
94,False,False,False,False,True,False,False
95,False,False,False,False,True,False,False
96,False,False,False,False,True,False,False
97,False,False,False,False,True,False,False
98,True,False,False,False,False,False,False
99,False,False,False,False,True,False,False
100,True,False,False,False,False,False,False
101,False,False,True,False,False,False,False
102,False,False,True,False,False,False,False
103,False,False,True,False,False,False,False
104,False,False,True,False,False,False,False
105,False,False,True,False,False,False,False
106,False,False,False,True,False,False,False
107,False,False,False,True,False,False,False
108,False,False,False,True,False,False,False
109,False,False,False,True,False,False,False
110,False,False,False,False,False,True,False
111,False,False,False,True,False,False,False
112,False,False,False,False,False,True,False
113,False,False,False,False,False,True,False
114,False,False,False,False,False,True,False
115,False,False,False,False,False,True,False
116,False,False,False,False,True,False,False
117,False,False,False,False,True,False,False
118,False,False,False,False,True,False,False
119,False,False,False,False,True,False,False
120,False,False,False,False,True,False,False
121,True,False,False,False,False,False,False
122,False,False,False,False,True,False,False
123,False,False,False,False,True,False,False
124,False,False,False,False,True,False,False
125,False,False,False,False,True,False,False
126,False,False,False,False,True,False,False
127,False,False,False,False,True,False,False
128,False,False,False,False,True,False,False
129,False,False,False,False,True,False,False
130,False,False,False,False,True,False,False
131,True,False,False,False,False,False,False
132,False,False,False,False,True,False,False
133,False,False,False,False,True,False,False
134,True,False,False,False,False,False,False
135,False,False,False,False,True,False,False
136,False,False,False,False,True,False,False
137,False,False,False,False,True,False,False
138,False,False,False,False,True,False,False
139,False,False,False,False,True,False,False
140,True,False,False,False,False,False,False
141,False,False,True,False,False,False,False
142,True,False,False,False,False,False,False
143,False,False,True,False,False,False,False
144,False,False,True,False,False,False,False
145,False,False,True,False,False,False,False
146,False,False,False,True,False,False,False
147,False,False,False,True,False,False,False
148,False,False,False,True,False,False,False
149,False,False,False,True,False,False,False
150,False,False,False,True,False,False,False
151,False,False,False,False,False,True,False
152,False,False,False,False,False,True,False
153,False,False,False,False,False,True,False
154,False,False,False,False,False,True,False
155,False,True,False,False,False,False,False
156,False,True,False,False,False,False,False
157,False,True,False,False,False,False,False
158,False,True,False,False,False,False,False
159,False,True,False,False,False,False,False
160,False,False,False,False,False,False,True
161,False,False,False,False,False,False,True
162,False,True,False,False,False,False,False
163,False,False,False,False,False,False,True
164,False,True,False,False,False,False,False
165,False,False,False,False,False,False,True
166,False,True,False,False,False,False,False
167,False,False,False,False,False,False,True
168,False,False,False,True,False,False,False
169,False,False,False,True,False,False,False
170,False,False,False,True,False,False,False
171,False,False,False,True,False,False,False
172,False,True,False,False,False,False,False
173,False,True,False,False,False,False,False
174,False,False,False,False,False,False,True
175,False,True,False,False,False,False,False
176,False,False,False,False,False,False,True
177,False,True,False,False,False,False,False
178,False,False,False,False,False,False,True
179,False,True,False,False,False,False,False
180,False,False,False,True,False,False,False
181,True,False,False,False,False,False,False
182,True,False,False,False,False,False,False
183,False,False,False,False,False,False,True
184,True,False,False,False,False,False,False
185,False,False,False,False,False,False,True
186,False,False,False,False,False,False,True
187,True,False,False,False,False,False,False
188,False,False,False,False,False,False,True
189,True,False,False,False,False,False,False
190,True,False,False,False,False,False,False
191,False,True,False,False,False,False,False
192,False,True,False,False,False,False,False
193,False,True,False,False,False,False,False
194,False,True,False,False,False,False,False
195,False,True,False,False,False,False,False
196,False,True,False,False,False,False,False
197,False,True,False,False,False,False,False
198,False,True,False,False,False,False,False
199,True,False,False,False,False,False,False
200,True,False,False,False,False,False,False
201,True,False,False,False,False,False,False
202,True,False,False,False,False,False,False
203,True,False,False,False,False,False,False
204,True,False,False,False,False,False,False
205,False,True,False,False,False,False,False
206,False,True,False,False,False,False,False
207,False,True,False,False,False,False,False
208,False,True,False,False,False,False,False
209,False,True,False,False,False,False,False
210,True,False,False,False,False,False,False
211,True,False,False,False,False,False,False
212,False,False,True,False,False,False,False
213,True,False,False,False,False,False,False
214,False,False,True,False,False,False,False
215,True,False,False,False,False,False,False
216,False,False,True,False,False,False,False
217,False,False,True,False,False,False,False
218,False,False,True,False,False,False,False
219,True,False,False,False,False,False,False
220,False,False,False,False,True,False,False
221,False,False,False,False,True,False,False
222,False,False,False,False,True,False,False
223,False,False,False,False,True,False,False
224,False,False,False,False,True,False,False
225,True,False,False,False,False,False,False
226,False,False,False,False,True,False,False
227,False,False,False,False,True,False,False
228,False,False,False,False,True,False,False
229,False,False,False,False,True,False,False
230,False,False,False,False,True,False,False
231,True,False,False,False,False,False,False
232,False,False,False,False,True,False,False
233,False,False,False,False,True,False,False
234,False,False,False,False,True,False,False
235,False,False,False,False,True,False,False
236,False,False,False,False,True,False,False
237,True,False,False,False,False,False,False
238,False,False,True,False,False,False,False
239,True,False,False,False,False,False,False
240,False,False,True,False,False,False,False
241,True,False,False,False,False,False,False
242,False,False,True,False,False,False,False
243,False,False,True,False,False,False,False
244,False,False,False,False,False,True,False
245,False,False,False,False,False,True,False
246,False,False,False,False,False,True,False
247,False,False,False,False,False,True,False
248,False,False,False,False,False,True,False
249,False,False,False,False,True,False,False
250,False,False,False,False,True,False,False
251,False,False,False,False,True,False,False
252,False,False,False,False,True,False,False
253,False,False,False,False,True,False,False
254,False,False,False,False,True,False,False
255,False,False,False,False,True,False,False
256,True,False,False,False,False,False,False
257,False,False,False,False,True,False,False
258,False,False,False,False,True,False,False
259,False,False,False,False,True,False,False
260,True,False,False,False,False,False,False
261,False,False,False,False,True,False,False
262,False,False,False,False,True,False,False
263,False,False,False,False,True,False,False
264,False,False,False,False,True,False,False
265,False,False,False,False,True,False,False
266,False,False,False,False,True,False,False
267,False,False,False,False,True,False,False
268,False,False,False,False,True,False,False
269,False,False,False,False,True,False,False
270,False,False,False,False,True,False,False
271,False,False,False,False,True,False,False
272,True,False,False,False,False,False,False
273,True,False,False,False,False,False,False
274,False,False,True,False,False,False,False
275,False,False,True,False,False,False,False
276,False,False,True,False,False,False,False
277,False,False,True,False,False,False,False
278,False,False,True,False,False,False,False
279,False,False,False,False,False,True,False
280,False,False,False,False,False,True,False
281,False,False,False,False,False,True,False
282,False,False,False,False,False,True,False
283,False,True,False,False,False,False,False
284,False,True,False,False,False,False,False
285,False,True,False,False,False,False,False
286,False,True,False,False,False,False,False
287,False,True,False,False,False,False,False
288,False,False,False,False,False,False,True
289,False,False,False,False,False,False,True
290,False,True,False,False,False,False,False
291,False,False,False,False,False,False,True
292,False,True,False,False,False,False,False
293,False,False,False,False,False,False,True
294,False,True,False,False,False,False,False
295,False,False,False,False,False,False,True
296,False,True,False,False,False,False,False
297,False,False,False,False,False,False,True
298,False,True,False,False,False,False,False
299,False,False,False,False,False,False,True
300,False,True,False,False,False,False,False
301,False,True,False,False,False,False,False
302,False,False,False,False,False,False,True
303,False,True,False,False,False,False,False
304,False,True,False,False,False,False,False
305,True,False,False,False,False,False,False
306,True,False,False,False,False,False,False
307,False,False,False,False,False,False,True
308,False,False,False,False,True,False,False
309,False,False,False,False,False,False,True
310,True,False,False,False,False,False,False
311,False,False,False,False,False,False,True
312,False,False,False,False,True,False,False
313,True,False,False,False,False,False,False
314,True,False,False,False,False,False,False
315,False,False,False,False,True,False,False
316,False,True,False,False,False,False,False
317,False,True,False,False,False,False,False
318,False,True,False,False,False,False,False
319,False,True,False,False,False,False,False
320,False,True,False,False,False,False,False
321,False,True,False,False,False,False,False
322,False,True,False,False,False,False,False
323,False,True,False,False,False,False,False
324,False,False,False,False,True,False,False
325,True,False,False,False,False,False,False
326,True,False,False,False,False,False,False
327,False,False,False,False,True,False,False
328,True,False,False,False,False,False,False
329,True,False,False,False,False,False,False
330,False,False,False,False,True,False,False
331,False,False,False,False,True,False,False
332,False,False,False,False,True,False,False
333,False,True,False,False,False,False,False
334,False,True,False,False,False,False,False
335,False,True,False,False,False,False,False
336,False,True,False,False,False,False,False
337,False,True,False,False,False,False,False
338,True,False,False,False,False,False,False
339,True,False,False,False,False,False,False
340,False,False,True,False,False,False,False
341,True,False,False,False,False,False,False
342,False,False,True,False,False,False,False
343,True,False,False,False,False,False,False
344,False,False,True,False,False,False,False
345,True,False,False,False,False,False,False
346,False,False,True,False,False,False,False
347,False,False,True,False,False,False,False
348,True,False,False,False,False,False,False
349,True,False,False,False,False,False,False
350,True,False,False,False,False,False,False
351,True,False,False,False,False,False,False
352,False,False,True,False,False,False,False
353,True,False,False,False,False,False,False
354,False,False,True,False,False,False,False
355,False,False,True,False,False,False,False
356,False,False,True,False,False,False,False
357,False,False,True,False,False,False,False
358,False,False,False,True,False,False,False
359,False,False,False,True,False,False,False
360,False,False,False,True,False,False,False
361,False,False,False,True,False,False,False
362,False,False,False,False,False,True,False
363,False,False,False,False,False,True,False
364,False,False,False,False,False,True,False
365,True,False,False,False,False,False,False
366,True,False,False,False,False,False,False
367,True,False,False,False,False,False,False
368,True,False,False,False,False,False,False
369,False,False,True,False,False,False,False
370,True,False,False,False,False,False,False
371,False,False,True,False,False,False,False
372,True,False,False,False,False,False,False
373,False,False,True,False,False,False,False
374,False,False,True,False,False,False,False
375,False,False,True,False,False,False,False
376,False,False,True,False,False,False,False
377,False,False,False,True,False,False,False
378,False,False,False,True,False,False,False
379,False,False,False,True,False,False,False
380,False,False,False,True,False,False,False
381,False,False,False,True,False,False,False
382,False,False,False,False,False,True,False
383,False,False,False,False,False,True,False
384,False,False,False,False,False,True,False
385,False,True,False,False,False,False,False
386,False,True,False,False,False,False,False
387,False,True,False,False,False,False,False
388,False,True,False,False,False,False,False
389,False,False,False,False,False,False,True
390,False,True,False,False,False,False,False
391,False,False,False,False,False,False,True
392,False,True,False,False,False,False,False
393,False,False,False,False,False,False,True
394,False,True,False,False,False,False,False
395,False,False,False,False,False,False,True
396,False,True,False,False,False,False,False
397,False,False,False,False,False,False,True
398,False,False,False,False,False,False,True
399,False,False,False,True,False,False,False
400,False,False,False,True,False,False,False
401,False,False,False,True,False,False,False
402,False,False,False,True,False,False,False
403,False,True,False,False,False,False,False
404,False,True,False,False,False,False,False
405,False,False,False,False,False,False,True
406,False,True,False,False,False,False,False
407,False,False,False,False,False,False,True
408,False,True,False,False,False,False,False
409,False,False,False,False,False,False,True
410,False,True,False,False,False,False,False
411,True,False,False,False,False,False,False
412,False,False,False,False,True,False,False
413,True,False,False,False,False,False,False
414,False,False,False,False,True,False,False
415,False,False,False,False,False,False,True
416,True,False,False,False,False,False,False
417,False,False,False,False,False,False,True
418,False,False,False,False,True,False,False
419,False,False,False,False,False,False,True
420,False,False,False,False,True,False,False
421,True,False,False,False,False,False,False
422,False,False,False,False,False,False,True
423,True,False,False,False,False,False,False
424,False,False,False,False,False,False,True
425,False,False,False,False,True,False,False
426,False,False,False,False,True,False,False
427,False,True,False,False,False,False,False
428,False,True,False,False,False,False,False
429,False,True,False,False,False,False,False
430,False,True,False,False,False,False,False
431,False,True,False,False,False,False,False
432,False,True,False,False,False,False,False
433,False,True,False,False,False,False,False
434,True,False,False,False,False,False,False
435,False,False,False,False,True,False,False
436,False,False,False,False,True,False,False
437,True,False,False,False,False,False,False
438,False,False,False,False,True,False,False
439,True,False,False,False,False,False,False
440,False,False,False,False,True,False,False
441,True,False,False,False,False,False,False
442,False,False,False,False,True,False,False
443,True,False,False,False,False,False,False
444,False,False,False,False,True,False,False
445,True,False,False,False,False,False,False
446,False,True,False,False,False,False,False
447,False,True,False,False,False,False,False
448,False,True,False,False,False,False,False
449,False,True,False,False,False,False,False
450,False,True,False,False,False,False,False
451,True,False,False,False,False,False,False
452,True,False,False,False,False,False,False
453,False,False,True,False,False,False,False
454,True,False,False,False,False,False,False
455,False,False,True,False,False,False,False
456,True,False,False,False,False,False,False
457,False,False,True,False,False,False,False
458,True,False,False,False,False,False,False
459,False,False,True,False,False,False,False
460,False,False,True,False,False,False,False
461,True,False,False,False,False,False,False
462,True,False,False,False,False,False,False
463,True,False,False,False,False,False,False
464,True,False,False,False,False,False,False
465,False,False,True,False,False,False,False
466,False,False,True,False,False,False,False
467,False,False,True,False,False,False,False
468,False,False,True,False,False,False,False
469,False,False,True,False,False,False,False
470,False,False,False,True,False,False,False
471,False,False,False,True,False,False,False
472,False,False,False,True,False,False,False
473,False,False,False,True,False,False,False
474,False,False,False,False,False,True,False
475,False,False,False,False,False,True,False
476,False,False,False,False,False,True,False
477,False,False,False,False,False,True,False
478,True,False,False,False,False,False,False
479,True,False,False,False,False,False,False
480,True,False,False,False,False,False,False
481,True,False,False,False,False,False,False
482,False,False,True,False,False,False,False
483,True,False,False,False,False,False,False
484,False,False,True,False,False,False,False
485,False,False,True,False,False,False,False
486,False,False,True,False,False,False,False
487,False,False,True,False,False,False,False
488,False,False,False,True,False,False,False
489,False,False,False,True,False,False,False
490,False,False,False,True,False,False,False
491,False,False,False,True,False,False,False
492,False,False,False,False,False,True,False
493,False,False,False,False,False,True,False
494,False,False,False,False,False,True,False
495,False,False,False,False,False,False,True
496,False,False,False,False,False,False,True
497,False,False,False,False,False,False,True
498,False,False,False,False,False,False,True
499,False,False,False,False,False,False,True
500,False,False,False,False,False,False,True
501,False,False,False,True,False,False,False
502,False,False,False,True,False,False,False
503,False,False,False,True,False,False,False
504,False,False,False,False,False,False,True
505,False,False,False,False,False,False,True
506,False,False,False,False,False,False,True
507,False,False,False,False,True,False,False
508,True,False,False,False,False,False,False
509,False,False,False,False,True,False,False
510,False,False,False,False,False,False,True
511,True,False,False,False,False,False,False
512,False,False,False,False,False,False,True
513,False,False,False,False,True,False,False
514,True,False,False,False,False,False,False
515,False,False,False,False,False,False,True
516,False,False,False,False,True,False,False
517,False,False,False,False,False,False,True
518,False,False,False,False,True,False,False
519,False,False,False,False,False,False,True
520,False,False,False,False,True,False,False
521,False,False,False,False,True,False,False
522,False,False,False,False,True,False,False
523,False,False,False,False,True,False,False
524,False,False,False,False,True,False,False
525,False,False,False,False,True,False,False
526,False,False,False,False,True,False,False
527,False,False,True,False,False,False,False
528,False,False,True,False,False,False,False
529,False,False,True,False,False,False,False
530,False,False,True,False,False,False,False
531,True,False,False,False,False,False,False
532,True,False,False,False,False,False,False
533,True,False,False,False,False,False,False
534,False,False,True,False,False,False,False
535,False,False,True,False,False,False,False
536,False,False,True,False,False,False,False
537,False,False,True,False,False,False,False
538,False,False,False,True,False,False,False
539,False,False,False,True,False,False,False
540,False,False,False,True,False,False,False
541,False,False,False,True,False,False,False
542,False,False,False,True,False,False,False
543,False,False,False,False,False,True,False
544,False,False,False,False,False,True,False
545,False,False,False,False,False,True,False
546,False,False,False,False,False,True,False
547,False,False,False,False,False,True,False
548,True,False,False,False,False,False,False
549,True,False,False,False,False,False,False
550,True,False,False,False,False,False,False
551,False,False,True,False,False,False,False
552,False,False,True,False,False,False,False
553,False,False,True,False,False,False,False
554,False,False,True,False,False,False,False
555,False,False,True,False,False,False,False
556,False,False,False,True,False,False,False
557,False,False,False,True,False,False,False
558,False,False,False,True,False,False,False
559,False,False,False,True,False,False,False
560,False,False,False,False,False,True,False
561,False,False,False,False,False,True,False
562,False,False,False,False,False,True,False
563,False,False,False,False,False,True,False
564,False,False,False,False,False,False,True
565,False,False,False,False,False,False,True
566,False,False,False,False,False,False,True
567,False,False,False,False,False,False,True
568,False,False,False,False,False,False,True
569,False,False,False,False,False,False,True
570,False,False,False,False,False,False,True
571,False,False,False,False,False,False,True
572,False,False,False,False,False,False,True
573,False,False,False,False,False,False,True
574,True,False,False,False,False,False,False
575,True,False,False,False,False,False,False
576,True,False,False,False,False,False,False
577,True,False,False,False,False,False,False
578,True,False,False,False,False,False,False
579,True,False,False,False,False,False,False
580,True,False,False,False,False,False,False
581,False,False,False,False,True,False,False
582,True,False,False,False,False,False,False
583,False,False,False,False,True,False,False
584,True,False,False,False,False,False,False
585,False,False,False,False,True,False,False
586,False,False,False,False,True,False,False
587,False,False,False,False,False,True,False
588,False,False,False,False,False,True,False
589,False,False,False,False,False,True,False
590,True,False,False,False,False,False,False
591,True,False,False,False,False,False,False
592,False,False,False,False,True,False,False
593,True,False,False,False,False,False,False
594,False,False,False,False,True,False,False
595,False,False,False,False,True,False,False
596,False,False,False,False,True,False,False
597,False,False,False,False,True,False,False
598,False,False,False,False,False,True,False
599,False,False,False,False,False,True,False
600,False,False,False,False,False,True,False
601,False,False,False,False,False,True,False
602,False,False,False,False,False,True,False
603,False,False,False,False,False,False,True
604,False,False,False,False,False,False,True
605,False,False,False,False,False,False,True
606,False,False,False,False,False,False,True
607,False,False,False,False,False,False,True
608,False,False,False,False,False,False,True
609,False,False,False,False,False,False,True
610,False,False,False,False,False,False,True
611,False,False,False,False,True,False,False
612,False,False,False,False,True,False,False
613,False,False,False,False,True,False,False
